CodProd,Descrip,CodInst,Activo,Descrip2,Precio_1
PVJA012,JAMON PIERNA 1KGx20u ALIMEX,Jamoneria,Y,,6.72
PVJA013,Jamon de Pierna 500grx40u ALIMEX,Jamoneria,Y,,3.15
PVJA015,Pechuga de Pavo Tunal alimex,Pavos y Pollos,Y,Pechuga de pavo,11.49
PVJA020,Jamon de Pierna Italico Alimex 1kg,Jamoneria,Y,,4.64
PVJA025,Jamon Endiablado 150gr Alimex,Enlatados,Y,,1.04
PVLP004,Leche en Polvo completa 400gr Purisima(e,Leche en polvo,Y,el tunal,3.23
PVLP014,Leche en Polvo Completa 1kg Purisima (e),Leche en polvo,Y,,7.53
PVMO005,Mortadela Caracas 1 Kg Carne Alimex (e),Mortadelas,Y,Mortade de carne 1 Kg,1.85
PVMO011,Mortadela pollo Caracas 1kgx20 Alimex (e,Mortadelas,Y,,1.92
PVMO014,Mortadela Caracas MINI ALIMEX (e),Mortadelas,Y,,2.33
PVMO015,Mortadela MAXI CARACAS 4.5kg ALIMEX(e),Mortadelas,Y,,1.82
PVMO020,Mortadela Caracas 750gr Alimex (e),Mortadelas,Y,,1.49
PVPA005,Crema de leche 500grs X unidad Purisima,Cremas y Natillas,Y,Crema de leche 500grs X unidad Purisima,1.46
PVQE008,Queso Amarillo semimadurado El Tunal,Quesos Amarillos,Y,,6.5
PVQE011,Q. Cabra past. Redondo 1KG El Tunal (e),Quesos Frescos,Y,,7.41
PVQE012,Q. Cabra past. Redondo 500gr El Tunal,Quesos Frescos,Y,,7.41
PVRE002,Mantequilla c/sal barra 200g el Tunal (e,Cremas y Natillas,Y,,1.21
PVSA001,Bologna de Carne 1Kg X unidad Alimex,Bolognas Y Fiambres,Y,Bologna de Carne Alimex,2.54
PVSA0014,Mortadela Marca Italico 1kg ALIMEX,Mortadelas,Y,,1.74
PVSA0015,Salchicha tipo Bari de Pollo ALIMEX,Salchichas,Y,,2.16
PVSA0016,Salchicha tipo Bologna de Carne ALIMEX,Embutidos,Y,,3.49
PVSA002,Salchicha viena Granel x Kg Alimex,Salchichas,Y,,3.26
PVSA003,Salchicha Viena 800 grs X unidad Alimex,Salchichas,Y,Salchicha Viena 800grs X Unidad,3.84
PVSA004,Salchicha Viena 450grs X Unidad Alimex,Salchichas,Y,salchicha Viena 450grs X Unidad,2.2
PVSA007,Salchicha Viena Coctel 450GR ALIMEX,Salchichas,Y,,5.38
PVSA008,Salchicha Viena Coctel 1.8Kg ALIMEX,Salchichas,Y,,5.11
PVSA011,Salchicha Wienner 450gr ALIMEX,Salchichas,Y,,2.57
PVSA012,Bologna de Pollo 1kg Alimex,Bolognas Y Fiambres,Y,,3.38
PVSA013,Salchicha de pollo 450gr Alimex el tunal,Salchichas,Y,,2.62
PVSA016,salchicha tipo italiana Alimex,Salchichas,Y,,7.24
PVSC002,Chistorra Cocida Alimex,Salchichas,Y,,9.53
SU900,Suero de leche Yaracal Bolsa 1KG,Cremas y Natillas,Y,,1.5
SUE001,Suero Cremosito 1Lt - La del Campo,Cremas y Natillas,Y,,1.62
SUE002,Suero Cremosito 250Ml - La del Campo,Cremas y Natillas,Y,,0.85
TAP001,Mortadela Tapara 1KG Alimex (e),Productos Premiun,Y,MORTADELA TAPARA 1 KG,5.6
VIG0001,Jam Cocido Pierna Vigor,Jamoneria,Y,,5.9
VIG0003,Espalda Cocida Vigor,Jamoneria,Y,,4.78
VIG0004,Fiambre De Carne De Cerdo y Res Vigor,Bolognas Y Fiambres,Y,,2.82
VIG0005,Salchicha Cocida Superior Tipo Bolog Vig,Bolognas Y Fiambres,Y,,2.02
VIG0006,Fiambre Tipo Arepero Vigor 2.4,Bolognas Y Fiambres,Y,,3.92
VIG0008,Mortadela Especial 1kg Vigor (e),Mortadelas,Y,,1.79
YO001,Yogurt Griego NATUGURT,NATUGURT,Y,,1.5
YO002,Yogurt Natural NATUGURT,NATUGURT,Y,,1.05
YO003,Yogurt de Coco NATUGURT,NATUGURT,Y,,1.5
YO004,Queso de Yogurt NATUGURT,NATUGURT,Y,,1.95
YO005,Yogurt Natural De Fresa Natugurt,NATUGURT,Y,,1.2
